
card_name,format,legality_status,reason,last_updated,source_url
Mox Pearl,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Ruby,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Sapphire,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mystic Forge,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mystical Tutor,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
"Narset, Parter of Veils",Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Necropotence,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Sol Ring,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Strip Mine,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Thorn of Amethyst,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Time Vault,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Time Walk,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Timetwister,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Tinker,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Tolarian Academy,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Treasure Cruise,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Trinisphere,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Urza's Saga,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Vampiric Tutor,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Vexing Bauble,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Wheel of Fortune,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Windfall,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Yawgmoth's Will,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Chaos Orb,Vintage,Banned,Manual dexterity card banned for logistical reasons.,Various,https://magic.wizards.com/en/banned-restricted-list
Falling Star,Vintage,Banned,Manual dexterity card banned for logistical reasons.,Various,https://magic.wizards.com/en/banned-restricted-list
Shahrazad,Vintage,Banned,Creates subgames that drastically extend match length.,Various,https://magic.wizards.com/en/banned-restricted-list
All Conspiracy cards,Vintage,Banned,Cards from the Conspiracy sets are not legal in Vintage.,Various,https://magic.wizards.com/en/banned-restricted-list
All ante cards,Vintage,Banned,Cards that reference playing for ante are banned in all formats.,Various,https://magic.wizards.com/en/banned-restricted-list
Cards with racially/culturally offensive art,Vintage,Banned,"Cards whose art, text, name, or combination is offensive are banned.",Various,https://magic.wizards.com/en/banned-restricted-list
All sticker or Attraction cards,Vintage,Banned,Un-set cards with stickers or Attractions are banned.,Various,https://magic.wizards.com/en/banned-restricted-list
Ancestral Recall,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Arcum's Astrolabe,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Balance,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Bazaar of Baghdad,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Black Lotus,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Channel,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Chaos Orb,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Deathrite Shaman,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Demonic Consultation,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Demonic Tutor,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Dig Through Time,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Dreadhorde Arcanist,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Earthcraft,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Expressive Iteration,Legacy,Banned,Card advantage engine that gives too much selection and advantage for two mana.,Various,https://magic.wizards.com/en/banned-restricted-list
Falling Star,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Fastbond,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Flash,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Frantic Search,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Gitaxian Probe,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Goblin Recruiter,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Grief,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Gush,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Hermit Druid,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Imperial Seal,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Library of Alexandria,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Lurrus of the Dream-Den,Legacy,Banned,Companion enabling recursion loops and homogenizing deck construction.,Various,https://magic.wizards.com/en/banned-restricted-list
Mana Crypt,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mana Drain,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mana Vault,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Memory Jar,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mental Misstep,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mind Twist,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mishra’s Workshop,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Emerald,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Jet,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Pearl,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Ruby,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Sapphire,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Mystical Tutor,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Necropotence,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Oath of Druids,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
"Oko, Thief of Crowns",Legacy,Banned,Planeswalker too powerful and versatile; homogenizes metagames.,Various,https://magic.wizards.com/en/banned-restricted-list
Psychic Frog,Legacy,Banned,No official reason provided; banned due to undesirable play patterns.,2024-12-16,https://magic.wizards.com/en/news/announcements/banned-and-restricted-december-16-2024
"Ragavan, Nimble Pilferer",Legacy,Banned,"Efficient one‑mana creature that generates card advantage and mana, warping the format.",Various,https://magic.wizards.com/en/banned-restricted-list
Sensei's Divining Top,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Shahrazad,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Skullclamp,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Sol Ring,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Sowing Mycospawn,Legacy,Banned,Fetches Wasteland to attack lands and compresses games; created environmental pressure.,2025-03-31,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-march-31-2025
Strip Mine,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Survival of the Fittest,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Time Vault,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Time Walk,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Timetwister,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Tinker,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Tolarian Academy,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Treasure Cruise,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Troll of Khazad-dûm,Legacy,Banned,"Made Dimir Reanimator too strong, providing flexible synergy that pushed other decks out of the format.",2025-03-31,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-march-31-2025
Underworld Breach,Legacy,Banned,Combo engine enabling explosive and resilient Grinding Station decks.,2025-03-31,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-march-31-2025
Vampiric Tutor,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Vexing Bauble,Legacy,Banned,No official reason provided; banned due to negative metagame impact.,2024-12-16,https://magic.wizards.com/en/news/announcements/banned-and-restricted-december-16-2024
Wheel of Fortune,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
White Plume Adventurer,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Windfall,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Wrenn and Six,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Yawgmoth's Bargain,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
Yawgmoth's Will,Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
"Zirda, the Dawnwaker",Legacy,Banned,No official reason provided or banned due to power level.,Various,https://magic.wizards.com/en/banned-restricted-list
All Conspiracy cards,Legacy,Banned,Cards from the Conspiracy sets are not legal in Legacy.,Various,https://magic.wizards.com/en/banned-restricted-list
All ante cards,Legacy,Banned,Cards that reference playing for ante are banned in all formats.,Various,https://magic.wizards.com/en/banned-restricted-list
Cards with racially/culturally offensive art,Legacy,Banned,"Cards whose art, text, name, or combination is offensive are banned.",Various,https://magic.wizards.com/en/banned-restricted-list
All sticker or Attraction cards,Legacy,Banned,Un-set cards with stickers or Attractions are banned.,Various,https://magic.wizards.com/en/banned-restricted-list
Ancestral Recall,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Balance,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Biorhythm,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Black Lotus,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Chaos Orb,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Channel,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Dockside Extortionist,Commander,Banned,"Generates large amounts of Treasure tokens early, leading to explosive starts and snowballing games.",2024-09-23,https://magic.wizards.com/en/news/announcements/commander-banned-and-restricted-announcement-september-23-2024
"Emrakul, the Aeons Torn",Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
"Erayo, Soratami Ascendant",Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Falling Star,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Fastbond,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Flash,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
"Golos, Tireless Pilgrim",Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Griselbrand,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Hullbreacher,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
"Iona, Shield of Emeria",Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Karakas,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Jeweled Lotus,Commander,Banned,"Provides a burst of mana to cast the commander early, enabling explosive starts.",2024-09-23,https://magic.wizards.com/en/news/announcements/commander-banned-and-restricted-announcement-september-23-2024
"Leovold, Emissary of Trest",Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Library of Alexandria,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Limited Resources,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
"Lutri, the Spellchaser",Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Mana Crypt,Commander,Banned,Free mana source that accelerates decks and reduces game length; drawback is negligible in Commander.,2024-09-23,https://magic.wizards.com/en/news/announcements/commander-banned-and-restricted-announcement-september-23-2024
Mox Emerald,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Mox Jet,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Mox Pearl,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Mox Ruby,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Mox Sapphire,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
"Nadu, Winged Wisdom",Commander,Banned,"Creates long, non‑deterministic combo loops that grind the game and monopolize time.",2024-09-23,https://magic.wizards.com/en/news/announcements/commander-banned-and-restricted-announcement-september-23-2024
Paradox Engine,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Primeval Titan,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Prophet of Kruphix,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Recurring Nightmare,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
"Rofellos, Llanowar Emissary",Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Shahrazad,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Sundering Titan,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Sylvan Primordial,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Time Vault,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Time Walk,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Tinker,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Tolarian Academy,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Trade Secrets,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Upheaval,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
Yawgmoth's Bargain,Commander,Banned,"Banned due to power level, combo potential, or unfun play patterns in multiplayer Commander.",Various,https://magic.wizards.com/en/banned-restricted-list
All Conspiracy cards,Commander,Banned,Cards from the Conspiracy sets are not legal in Commander.,Various,https://magic.wizards.com/en/banned-restricted-list
All ante cards,Commander,Banned,Cards that reference playing for ante are banned in all formats.,Various,https://magic.wizards.com/en/banned-restricted-list
Cards with racially/culturally offensive art,Commander,Banned,"Cards whose art, text, name, or combination is offensive are banned.",Various,https://magic.wizards.com/en/banned-restricted-list
All sticker or Attraction cards,Commander,Banned,Un-set cards with stickers or Attractions are banned.,Various,https://magic.wizards.com/en/banned-restricted-list
Aarakocra Sneak,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
All That Glitters,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Arcum's Astrolabe,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Atog,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Basking Broodscale,Pauper,Banned,"Combos with Sadistic Glee to produce infinite mana and kills quickly, exerting oppressive metagame pressure.",2025-03-31,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-march-31-2025
Bonder's Ornament,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Chatterstorm,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Cloud of Faeries,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Cloudpost,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Cranial Plating,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Cranial Ram,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Daze,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Deadly Dispute,Pauper,Banned,Dominant card draw and treasure engine that homogenizes decks and creates huge resource swings.,2025-03-31,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-march-31-2025
Disciple of the Vault,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Empty the Warrens,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Fall from Favor,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Frantic Search,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Galvanic Relay,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Gitaxian Probe,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Grapeshot,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Gush,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Hymn to Tourach,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Invigorate,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Kuldotha Rebirth,Pauper,Banned,Polarizing Mono‑Red enabler leading to high win rates and uninteractive games.,2025-03-31,https://magic.wizards.com/en/news/announcements/banned-and-restricted-announcement-march-31-2025
Monastery Swiftspear,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Mystic Sanctuary,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Peregrine Drake,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Sinkhole,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Sojourner's Companion,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Stirring Bard,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Temporal Fissure,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
Treasure Cruise,Pauper,Banned,Banned due to balance concerns and to maintain Pauper format diversity.,Various,https://magic.wizards.com/en/banned-restricted-list
