title,commander,format,decklist
"Izzet Prowess","",Pioneer,"1 Abrade
4 Academic Dispute
3 Boomerang Basics
2 Burst Lightning
4 Cori-Steel Cutter
1 Den of the Bugbear
4 Emberheart Challenger
3 Experimental Synthesizer
3 Heroes' Hangout
2 Into the Flood Maw
4 Monastery Swiftspear
3 Mountain
2 Reckless Rage
2 Riverglide Pathway
3 Riverpyre Verge
3 Shivan Reef
4 Soul-Scar Mage
4 Spirebluff Canal
4 Steam Vents
4 Stormchaser's Talent

1 Accumulate Wisdom
1 Boomerang Basics
1 Brazen Borrower
1 Firebending Lesson
1 Iroh's Demonstration
1 It'll Quench Ya!
1 Octopus Form
1 Price of Freedom
2 Pyroclasm
1 Ral, Crackling Wit
2 Soul-Guide Lantern
2 Torch the Tower"
"Izzet Prowess","",Pioneer,"4 Academic Dispute
3 Boomerang Basics
3 Burst Lightning
4 Consider
4 Cori-Steel Cutter
4 Emberheart Challenger
2 Experimental Synthesizer
4 Monastery Swiftspear
1 Monstrous Rage
2 Mountain
4 Reckless Rage
4 Riverglide Pathway
2 Riverpyre Verge
3 Shivan Reef
4 Soul-Scar Mage
4 Spirebluff Canal
4 Steam Vents
4 Stormchaser's Talent

1 Accumulate Wisdom
1 Boomerang Basics
1 Brazen Borrower
1 Firebending Lesson
1 Iroh's Demonstration
1 Octopus Form
1 Pyroclasm
2 Scorching Shot
2 Soul-Guide Lantern
2 Spell Pierce
2 Spider-Sense"
"Izzet Prowess","",Pioneer,"4 Academic Dispute
3 Boomerang Basics
4 Burst Lightning
4 Cori-Steel Cutter
3 Emberheart Challenger
4 Heroes' Hangout
4 Monastery Swiftspear
2 Monstrous Rage
4 Mountain
2 Reckless Rage
1 Riverglide Pathway
4 Riverpyre Verge
2 Screaming Nemesis
3 Shivan Reef
4 Soul-Scar Mage
4 Spirebluff Canal
4 Steam Vents
4 Stormchaser's Talent

1 Abandon Attachments
1 Boomerang Basics
1 Firebending Lesson
1 Iroh's Demonstration
1 Mercurial Transformation
1 Octopus Form
2 Redcap Melee
2 Rending Volley
2 Screaming Nemesis
2 Spell Pierce
1 Urabrask's Forge"
"Izzet Prowess","",Pioneer,"4 Academic Dispute
3 Boomerang Basics
4 Cori-Steel Cutter
1 Den of the Bugbear
4 Emberheart Challenger
3 Experimental Synthesizer
3 Heroes' Hangout
1 Into the Flood Maw
4 Monastery Swiftspear
2 Monstrous Rage
4 Mountain
2 Reckless Rage
1 Riverglide Pathway
4 Riverpyre Verge
2 Shivan Reef
4 Soul-Scar Mage
4 Spirebluff Canal
4 Steam Vents
4 Stormchaser's Talent
2 Torch the Tower

1 Accumulate Wisdom
1 Boomerang Basics
1 Firebending Lesson
1 Iroh's Demonstration
1 Price of Freedom
2 Pyroclasm
2 Ral, Crackling Wit
2 Scorching Shot
2 Soul-Guide Lantern
2 Torch the Tower"
"Izzet Prowess","",Pioneer,"4 Academic Dispute
3 Boomerang Basics
3 Burst Lightning
4 Cori-Steel Cutter
3 Emberheart Challenger
2 Experimental Synthesizer
2 Heroes' Hangout
4 Monastery Swiftspear
2 Monstrous Rage
4 Mountain
3 Reckless Rage
1 Riverglide Pathway
4 Riverpyre Verge
2 Screaming Nemesis
3 Shivan Reef
4 Soul-Scar Mage
4 Spirebluff Canal
4 Steam Vents
4 Stormchaser's Talent

1 Abandon Attachments
1 Boomerang Basics
2 Dragonfly Swarm
1 Firebending Lesson
1 Iroh's Demonstration
1 Mercurial Transformation
1 Octopus Form
2 Rending Volley
2 Screaming Nemesis
2 Spell Pierce
1 Urabrask's Forge"
"Azorius Control (Kaheera)","",Pioneer,"2 Beza, the Bounding Spring
1 Castle Ardenvale
2 Consult the Star Charts
3 Deserted Beach
2 Dovin's Veto
1 Eiganjo, Seat of the Empire
2 Elspeth, Storm Slayer
2 Field of Ruin
4 Floodfarm Verge
3 Get Lost
1 Hall of Storm Giants
4 Hallowed Fountain
2 High Noon
2 Island
4 March of Otherworldly Light
1 Memory Deluge
2 Meticulous Archive
4 No More Lies
1 Otawara, Soaring City
2 Pinnacle Starcage
3 Plains
2 Restless Anchorage
2 Seam Rip
1 Stock Up
3 Supreme Verdict
2 Teferi, Hero of Dominaria
2 The Wandering Emperor

1 High Noon
1 Kaheera, the Orphanguard
4 Leyline of Sanctity
2 Mystical Dispute
2 Pinnacle Starcage
2 Regal Caracal
2 Rest in Peace
1 Spell Snare"
"Azorius Control","",Pioneer,"2 Agna Qel'a
2 Beza, the Bounding Spring
4 Deserted Beach
4 Dovin's Veto
2 Farewell
2 Field of Ruin
4 Floodfarm Verge
4 Get Out
2 Hall of Storm Giants
4 Hallowed Fountain
4 Hengegate Pathway
4 Island
4 March of Otherworldly Light
4 Memory Deluge
4 No More Lies
2 Plains
4 Quick Study
4 Restless Anchorage
4 Seachrome Coast
4 Spell Snare
2 Supreme Verdict
2 Teferi, Hero of Dominaria
4 Temporary Lockdown
4 The Wandering Emperor

2 Beza, the Bounding Spring
2 Change the Equation
4 Rest in Peace
4 Spell Pierce
2 Supreme Verdict
1 Yorion, Sky Nomad"
"Azorius Control","",Pioneer,"2 Beza, the Bounding Spring
2 Change the Equation
4 Consult the Star Charts
3 Deserted Beach
1 Dovin's Veto
1 Eiganjo, Seat of the Empire
1 Elspeth, Storm Slayer
1 Farewell
2 Field of Ruin
4 Floodfarm Verge
2 Fountainport
3 Get Lost
1 Hall of Storm Giants
4 Hallowed Fountain
2 Island
4 March of Otherworldly Light
2 Meticulous Archive
4 No More Lies
1 Otawara, Soaring City
3 Pinnacle Starcage
2 Plains
2 Restless Anchorage
2 Supreme Verdict
2 Teferi, Hero of Dominaria
4 The Wandering Emperor
1 Three Steps Ahead

2 Beza, the Bounding Spring
1 Dovin's Veto
1 Elspeth, Storm Slayer
1 Get Lost
1 Kaheera, the Orphanguard
2 Kutzil's Flanker
1 Mystical Dispute
1 Pinnacle Starcage
1 Regal Caracal
3 Rest in Peace
1 Supreme Verdict"
"Azorius Control","",Pioneer,"1 Beza, the Bounding Spring
4 Consult the Star Charts
1 Day's Undoing
3 Deserted Beach
2 Dovin's Veto
1 Eiganjo, Seat of the Empire
1 Farewell
2 Field of Ruin
4 Floodfarm Verge
2 Fountainport
3 Get Lost
1 Hall of Storm Giants
4 Hallowed Fountain
2 Island
4 March of Otherworldly Light
1 Memory Deluge
2 Meticulous Archive
1 Narset, Parter of Veils
4 No More Lies
1 Otawara, Soaring City
2 Plains
2 Restless Anchorage
3 Stock Up
2 Supreme Verdict
2 Teferi, Hero of Dominaria
2 Temporary Lockdown
2 The Wandering Emperor
1 Three Steps Ahead

2 Beza, the Bounding Spring
2 Brimaz, King of Oreskos
2 High Noon
1 Narset, Parter of Veils
1 Pinnacle Starcage
3 Rest in Peace
2 Shark Typhoon
2 Ultima"
"Azorius Control","",Pioneer,"3 Beza, the Bounding Spring
1 Change the Equation
4 Consult the Star Charts
3 Deserted Beach
2 Dovin's Veto
1 Eiganjo, Seat of the Empire
1 Elspeth, Storm Slayer
1 Farewell
2 Field of Ruin
4 Floodfarm Verge
2 Fountainport
3 Get Lost
1 Hall of Storm Giants
4 Hallowed Fountain
2 Island
4 March of Otherworldly Light
2 Meticulous Archive
4 No More Lies
1 Otawara, Soaring City
2 Plains
2 Restless Anchorage
2 Supreme Verdict
2 Teferi, Hero of Dominaria
3 Temporary Lockdown
3 The Wandering Emperor
1 Three Steps Ahead

1 Beza, the Bounding Spring
1 Brimaz, King of Oreskos
1 Dovin's Veto
1 Elspeth, Storm Slayer
1 Farewell
1 Get Lost
1 Kaheera, the Orphanguard
2 Kutzil's Flanker
2 Regal Caracal
3 Rest in Peace
1 Temporary Lockdown"
"Golgari Midrange","",Pioneer,"2 Abrupt Decay
4 Badgermole Cub
4 Blooming Marsh
1 Boseiju, Who Endures
2 Darkbore Pathway
4 Deep-Cavern Bat
2 Elvish Mystic
4 Fatal Push
2 Forest
1 Go for the Throat
2 Llanowar Elves
4 Llanowar Wastes
4 Mutavault
4 Ouroboroid
4 Overgrown Tomb
4 Sentinel of the Nameless City
1 Swamp
1 Takenuma, Abandoned Mire
1 Tear Asunder
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth

3 Culling Ritual
2 Duress
2 Go Blank
4 Leyline of the Void
1 Liliana of the Veil
1 Shoot the Sheriff
2 The Meathook Massacre"
"Golgari Midrange","",Pioneer,"2 Abrupt Decay
4 Badgermole Cub
4 Blooming Marsh
1 Boseiju, Who Endures
2 Darkbore Pathway
3 Deep-Cavern Bat
2 Elvish Mystic
4 Fatal Push
2 Forest
1 Go for the Throat
1 Graveyard Trespasser
2 Llanowar Elves
4 Llanowar Wastes
4 Mutavault
4 Ouroboroid
4 Overgrown Tomb
4 Sentinel of the Nameless City
1 Swamp
1 Takenuma, Abandoned Mire
1 Tear Asunder
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth

4 Culling Ritual
2 Duress
2 Liliana of the Veil
1 Nissa, Ascended Animist
1 Shoot the Sheriff
2 The Meathook Massacre
3 Unlicensed Hearse"
"Golgari Midrange","",Pioneer,"2 Abrupt Decay
4 Badgermole Cub
4 Blooming Marsh
1 Boseiju, Who Endures
2 Darkbore Pathway
3 Deep-Cavern Bat
2 Elvish Mystic
4 Fatal Push
2 Forest
1 Go for the Throat
2 Llanowar Elves
4 Llanowar Wastes
1 Mutable Explorer
4 Mutavault
4 Ouroboroid
4 Overgrown Tomb
4 Sentinel of the Nameless City
1 Swamp
1 Takenuma, Abandoned Mire
1 Tear Asunder
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth

1 Abrupt Decay
4 Culling Ritual
2 Liliana of the Veil
1 Nissa, Ascended Animist
4 Ray of Enfeeblement
3 Unlicensed Hearse"
"Golgari Midrange","",Pioneer,"2 Abrupt Decay
4 Badgermole Cub
4 Blooming Marsh
1 Boseiju, Who Endures
3 Darkbore Pathway
4 Deep-Cavern Bat
2 Elvish Mystic
4 Fatal Push
1 Forest
2 Go for the Throat
2 Llanowar Elves
4 Llanowar Wastes
4 Mutavault
4 Ouroboroid
4 Overgrown Tomb
4 Sentinel of the Nameless City
1 Swamp
1 Takenuma, Abandoned Mire
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth

2 Culling Ritual
2 Duress
2 Liliana of the Veil
2 Nissa, Ascended Animist
2 Shadows' Verdict
1 The Meathook Massacre
4 Unlicensed Hearse"
"Golgari Midrange","",Pioneer,"2 Abrupt Decay
4 Badgermole Cub
4 Blooming Marsh
1 Boseiju, Who Endures
2 Darkbore Pathway
3 Deep-Cavern Bat
2 Elvish Mystic
4 Fatal Push
2 Forest
1 Go for the Throat
2 Llanowar Elves
4 Llanowar Wastes
1 Mutable Explorer
4 Mutavault
4 Ouroboroid
4 Overgrown Tomb
4 Sentinel of the Nameless City
1 Swamp
1 Takenuma, Abandoned Mire
1 Tear Asunder
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth

1 Abrupt Decay
4 Culling Ritual
2 Duress
3 Liliana of the Veil
1 Nissa, Ascended Animist
1 The Meathook Massacre
3 Unlicensed Hearse"
"Selesnya Company","",Pioneer,"1 Abandoned Air Temple
4 Archon of Emeria
3 Aven Interrupter
3 Badgermole Cub
1 Boseiju, Who Endures
4 Branchloft Pathway
4 Brushland
4 Collected Company
1 Eiganjo, Seat of the Empire
1 Elspeth, Storm Slayer
3 Elvish Mystic
4 Enduring Innocence
3 Llanowar Elves
3 Ouroboroid
2 Plains
4 Razorverge Thicket
3 Reidane, God of the Worthy
1 Restless Prairie
4 Skyclave Apparition
4 Temple Garden
3 Thalia, Guardian of Thraben

2 Beza, the Bounding Spring
2 Elesh Norn, Mother of Machines
1 Elspeth, Storm Slayer
2 High Noon
3 Kutzil's Flanker
3 Seam Rip
2 Settle the Wreckage"
"Selesnya Company","",Pioneer,"2 Abandoned Air Temple
4 Archon of Emeria
2 Aven Interrupter
4 Badgermole Cub
1 Boseiju, Who Endures
2 Branchloft Pathway
4 Brushland
4 Collected Company
2 Dromoka's Command
1 Eiganjo, Seat of the Empire
4 Elvish Mystic
4 Enduring Innocence
4 Llanowar Elves
3 Ouroboroid
2 Plains
4 Razorverge Thicket
4 Skyclave Apparition
2 Starting Town
4 Temple Garden
3 Thalia, Guardian of Thraben

2 Aven Interrupter
2 Beza, the Bounding Spring
2 Get Lost
2 High Noon
1 Kutzil's Flanker
2 Rest in Peace
4 Seam Rip"
"Selesnya Company","",Pioneer,"2 Abandoned Air Temple
4 Archon of Emeria
2 Aven Interrupter
4 Badgermole Cub
1 Boseiju, Who Endures
2 Branchloft Pathway
4 Brushland
4 Collected Company
1 Eiganjo, Seat of the Empire
2 Elspeth, Storm Slayer
4 Elvish Mystic
4 Enduring Innocence
4 Llanowar Elves
3 Ouroboroid
2 Plains
4 Razorverge Thicket
4 Skyclave Apparition
2 Starting Town
4 Temple Garden
3 Thalia, Guardian of Thraben

2 Aven Interrupter
2 Beza, the Bounding Spring
2 Get Lost
2 High Noon
1 Kutzil's Flanker
2 Rest in Peace
4 Seam Rip"
"Selesnya Company","",Pioneer,"2 Abandoned Air Temple
4 Archon of Emeria
4 Aven Interrupter
4 Badgermole Cub
1 Boseiju, Who Endures
2 Branchloft Pathway
4 Brushland
4 Collected Company
3 Dromoka's Command
2 Duskwatch Recruiter
4 Elvish Mystic
3 Enduring Innocence
2 Forest
2 Keen-Eyed Curator
4 Llanowar Elves
3 Plains
4 Razorverge Thicket
4 Skyclave Apparition
4 Temple Garden

2 Clarion Conqueror
2 Elspeth, Storm Slayer
2 Knight of Autumn
4 Seam Rip
2 Spectacular Spider-Man
3 Werefox Bodyguard"
"Selesnya Company","",Pioneer,"2 Abandoned Air Temple
4 Archon of Emeria
4 Aven Interrupter
4 Badgermole Cub
1 Boseiju, Who Endures
2 Branchloft Pathway
4 Brushland
4 Collected Company
3 Dromoka's Command
2 Duskwatch Recruiter
4 Elvish Mystic
3 Enduring Innocence
2 Forest
2 Keen-Eyed Curator
4 Llanowar Elves
3 Plains
4 Razorverge Thicket
4 Skyclave Apparition
4 Temple Garden

2 Clarion Conqueror
2 Elspeth, Storm Slayer
2 Knight of Autumn
4 Seam Rip
2 Spectacular Spider-Man
3 Werefox Bodyguard"
"Orzhov Greasefang","",Pioneer,"2 Bleachbone Verge
2 Brightclimb Pathway
4 Concealed Courtyard
1 Eiganjo, Seat of the Empire
4 Fatal Push
4 Fleeting Spirit
1 Geier Reach Sanitarium
4 Godless Shrine
4 Greasefang, Okiba Boss
3 Guardian of New Benalia
4 Iron-Shield Elf
1 Lively Dirge
4 Monument to Endurance
4 Parhelion II
1 Plains
2 Shadowy Backstreet
2 Sheltered by Ghosts
1 Swamp
1 Takenuma, Abandoned Mire
4 The Mycosynth Gardens
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth
2 Vanishing Verse

2 Bitter Triumph
2 Deafening Silence
3 Doorkeeper Thrull
2 Duress
1 Go Blank
2 Pest Control
2 Soul-Guide Lantern
1 Vanishing Verse"
"Orzhov Greasefang","",Pioneer,"2 Bleachbone Verge
2 Brightclimb Pathway
1 Cling to Dust
4 Concealed Courtyard
1 Eiganjo, Seat of the Empire
4 Fatal Push
4 Fleeting Spirit
1 Geier Reach Sanitarium
4 Godless Shrine
4 Greasefang, Okiba Boss
2 Guardian of New Benalia
4 Iron-Shield Elf
1 Lively Dirge
4 Monument to Endurance
4 Parhelion II
1 Plains
2 Shadowy Backstreet
1 Spider-Woman, Stunning Savior
1 Swamp
1 Takenuma, Abandoned Mire
4 The Mycosynth Gardens
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth
3 Vanishing Verse

3 Bitter Triumph
3 Doorkeeper Thrull
2 Duress
1 Go Blank
1 High Noon
2 Pest Control
2 Soul-Guide Lantern
1 Spider-Woman, Stunning Savior"
"Orzhov Greasefang","",Pioneer,"2 Bleachbone Verge
2 Brightclimb Pathway
4 Concealed Courtyard
1 Eiganjo, Seat of the Empire
4 Fatal Push
4 Fleeting Spirit
1 Geier Reach Sanitarium
4 Godless Shrine
4 Greasefang, Okiba Boss
3 Guardian of New Benalia
4 Iron-Shield Elf
1 Lively Dirge
4 Monument to Endurance
4 Parhelion II
1 Plains
2 Shadowy Backstreet
2 Sheltered by Ghosts
1 Swamp
1 Takenuma, Abandoned Mire
4 The Mycosynth Gardens
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth
2 Vanishing Verse

2 Bitter Triumph
3 Doorkeeper Thrull
2 Duress
1 Go Blank
2 High Noon
2 Pest Control
2 Soul-Guide Lantern
1 Vanishing Verse"
"Orzhov Greasefang","",Pioneer,"2 Bleachbone Verge
2 Brightclimb Pathway
4 Concealed Courtyard
1 Eiganjo, Seat of the Empire
4 Fatal Push
4 Fleeting Spirit
1 Geier Reach Sanitarium
4 Godless Shrine
4 Greasefang, Okiba Boss
3 Guardian of New Benalia
4 Iron-Shield Elf
4 Monument to Endurance
4 Parhelion II
1 Plains
2 Shadowy Backstreet
3 Sheltered by Ghosts
1 Swamp
1 Takenuma, Abandoned Mire
4 The Mycosynth Gardens
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth
2 Vanishing Verse

2 Bitter Triumph
3 Doorkeeper Thrull
2 Duress
1 Go Blank
2 High Noon
2 Pest Control
2 Soul-Guide Lantern
1 Vanishing Verse"
"Orzhov Greasefang","",Pioneer,"2 Bleachbone Verge
2 Brightclimb Pathway
4 Concealed Courtyard
1 Eiganjo, Seat of the Empire
4 Fatal Push
4 Fleeting Spirit
1 Geier Reach Sanitarium
4 Godless Shrine
4 Greasefang, Okiba Boss
3 Guardian of New Benalia
4 Iron-Shield Elf
4 Monument to Endurance
4 Parhelion II
1 Plains
2 Shadowy Backstreet
3 Sheltered by Ghosts
1 Swamp
1 Takenuma, Abandoned Mire
4 The Mycosynth Gardens
4 Thoughtseize
1 Urborg, Tomb of Yawgmoth
2 Vanishing Verse

2 Bitter Triumph
3 Doorkeeper Thrull
2 Duress
1 Go Blank
2 High Noon
2 Pest Control
2 Soul-Guide Lantern
1 Vanishing Verse"
"Orzhov Midrange","",Pioneer,"4 Bleachbone Verge
4 Brightclimb Pathway
4 Concealed Courtyard
2 Duress
4 Fatal Push
4 Gifted Aetherborn
2 Go for the Throat
4 Godless Shrine
4 Mutavault
2 Pest Control
4 Preacher of the Schism
2 Qarsi Revenant
3 Sheoldred, the Apocalypse
4 Swamp
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth
4 Vanishing Verse

2 Blood Baron of Vizkopa
3 Doorkeeper Thrull
1 Duress
3 High Noon
2 Languish
2 Reckoner Bankbuster
2 Rest in Peace"
"Orzhov Midrange","",Pioneer,"2 Bitterbloom Bearer
4 Bleachbone Verge
4 Brightclimb Pathway
4 Concealed Courtyard
2 Duress
4 Fatal Push
4 Gifted Aetherborn
2 Go for the Throat
4 Godless Shrine
4 Mutavault
2 Pest Control
4 Qarsi Revenant
3 Sheoldred, the Apocalypse
3 Swamp
1 Takenuma, Abandoned Mire
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth
4 Vanishing Verse

1 Ashiok, Dream Render
2 Devout Decree
3 Doorkeeper Thrull
2 Duress
1 Fracture
2 High Noon
2 Languish
2 Rest in Peace"
"Orzhov Midrange","",Pioneer,"2 Anoint with Affliction
4 Bleachbone Verge
2 Brightclimb Pathway
2 Castle Locthwain
4 Concealed Courtyard
3 Dreams of Steel and Oil
4 Fatal Push
4 Gifted Aetherborn
2 Go for the Throat
4 Godless Shrine
1 Graveyard Trespasser
4 Mutavault
4 Preacher of the Schism
3 Sheoldred, the Apocalypse
3 Swamp
1 Takenuma, Abandoned Mire
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth
4 Vanishing Verse

2 Beza, the Bounding Spring
2 Blood Baron of Vizkopa
2 Duress
2 Go Blank
2 Languish
2 Ray of Enfeeblement
3 Rest in Peace"
"Orzhov Midrange","",Pioneer,"2 Anoint with Affliction
2 Blade of the Oni
4 Bleachbone Verge
4 Brightclimb Pathway
4 Concealed Courtyard
2 Dreams of Steel and Oil
4 Fatal Push
4 Gifted Aetherborn
2 Go for the Throat
4 Godless Shrine
4 Mutavault
4 Preacher of the Schism
3 Sheoldred, the Apocalypse
3 Swamp
1 Takenuma, Abandoned Mire
4 Thoughtseize
4 Unholy Annex/Ritual Chamber
1 Urborg, Tomb of Yawgmoth
4 Vanishing Verse

2 Beza, the Bounding Spring
2 Duress
2 High Noon
2 Languish
4 Ray of Enfeeblement
3 Rest in Peace"
