title,commander,format,decklist
"Eldrazi Tron","",Modern,"1 Chalice of the Void
3 Devourer of Destiny
2 Dismember
4 Eldrazi Temple
1 Emrakul, the Promised End
4 Expedition Map
3 Glaring Fleshraker
4 Karn, the Great Creator
4 Kozilek's Command
4 Mind Stone
1 Sire of Seven Deaths
1 Swamp
4 Thought-Knot Seer
1 Trinisphere
4 Ugin's Labyrinth
4 Ugin, Eye of the Storms
1 Ulamog, the Ceaseless Hunger
4 Urza's Mine
4 Urza's Power Plant
4 Urza's Tower
1 Vexing Bauble
1 Wastes

1 Chalice of the Void
1 Cityscape Leveler
1 Disruptor Flute
1 Ensnaring Bridge
1 Extinguisher Battleship
1 Liquimetal Coating
1 Oblivion Stone
1 Relic of Progenitus
1 Skysovereign, Consul Flagship
1 The Filigree Sylex
1 The Stone Brain
1 Tormod's Crypt
1 Torpor Orb
1 Trinisphere
1 Walking Ballista"
"Eldrazi Tron","",Modern,"2 Chalice of the Void
4 Devourer of Destiny
2 Dismember
4 Eldrazi Temple
4 Expedition Map
3 Glaring Fleshraker
4 Karn, the Great Creator
4 Kozilek's Command
4 Mind Stone
1 Swamp
4 Thought-Knot Seer
1 Trinisphere
4 Ugin's Labyrinth
4 Ugin, Eye of the Storms
1 Ulamog, the Ceaseless Hunger
4 Urza's Mine
4 Urza's Power Plant
4 Urza's Tower
1 Vexing Bauble
1 Wastes

1 Cityscape Leveler
2 Disruptor Flute
1 Ensnaring Bridge
1 Extinguisher Battleship
1 Liquimetal Coating
1 Skysovereign, Consul Flagship
1 The Filigree Sylex
1 The Stone Brain
1 Tormod's Crypt
1 Torpor Orb
1 Trinisphere
2 Vexing Bauble
1 Walking Ballista"
"Mono-Green Eldrazi Tron","",Modern,"2 Devourer of Destiny
2 Dismember
4 Eldrazi Temple
4 Expedition Map
1 Forest
4 Karn, the Great Creator
4 Kozilek's Command
1 Relic of Progenitus
2 Sire of Seven Deaths
4 Sowing Mycospawn
2 Talisman of Impulse
4 Talisman of Resilience
4 Thought-Knot Seer
4 Ugin's Labyrinth
4 Ugin, Eye of the Storms
2 Ulamog, the Ceaseless Hunger
4 Urza's Mine
4 Urza's Power Plant
4 Urza's Tower
1 Walking Ballista

1 Damping Sphere
3 Disruptor Flute
1 Ensnaring Bridge
1 Extinguisher Battleship
1 Grafdigger's Cage
1 Haywire Mite
1 Liquimetal Coating
1 Skysovereign, Consul Flagship
1 The Filigree Sylex
1 Tormod's Crypt
1 Torpor Orb
1 Trinisphere
1 Vexing Bauble"
"Eldrazi Tron","",Modern,"1 All Is Dust
1 Chalice of the Void
4 Devourer of Destiny
2 Dismember
4 Eldrazi Temple
4 Expedition Map
2 Glaring Fleshraker
4 Karn, the Great Creator
4 Kozilek's Command
3 Mind Stone
2 Relic of Progenitus
1 Sire of Seven Deaths
1 Swamp
4 Thought-Knot Seer
4 Ugin's Labyrinth
2 Ugin, Eye of the Storms
1 Ulamog, the Ceaseless Hunger
4 Urza's Mine
4 Urza's Power Plant
4 Urza's Tower
3 Vexing Bauble
1 Wastes

1 Chalice of the Void
1 Cityscape Leveler
1 Cursed Totem
1 Disruptor Flute
1 Ensnaring Bridge
1 Extinguisher Battleship
1 Liquimetal Coating
1 Skysovereign, Consul Flagship
1 Soulless Jailer
1 Sundering Titan
1 The Stone Brain
1 Tormod's Crypt
1 Torpor Orb
1 Trinisphere
1 Walking Ballista"
"Affinity","",Modern,"2 Arcbound Ravager
2 Claws of Gix
3 Emry, Lurker of the Loch
4 Engineered Explosives
4 Fiery Islet
1 Island
4 Kappa Cannoneer
1 Lavaspur Boots
3 Memnite
2 Metallic Rebuke
4 Mishra's Bauble
4 Mox Opal
4 Pinnacle Emissary
1 Pithing Needle
1 Shadowspear
1 Shivan Reef
3 Sink into Stupor
4 Spirebluff Canal
4 Tormod's Crypt
4 Urza's Saga
4 Weapons Manufacturing

3 Consign to Memory
3 Damping Sphere
2 Dismember
2 Strix Serenade
2 Vexing Bauble
3 Whipflare"
"Affinity","",Modern,"2 Arcbound Ravager
2 Claws of Gix
3 Emry, Lurker of the Loch
4 Engineered Explosives
4 Fiery Islet
1 Island
4 Kappa Cannoneer
1 Lavaspur Boots
3 Memnite
2 Metallic Rebuke
4 Mishra's Bauble
4 Mox Opal
4 Pinnacle Emissary
1 Pithing Needle
1 Shadowspear
1 Shivan Reef
3 Sink into Stupor
4 Spirebluff Canal
4 Tormod's Crypt
4 Urza's Saga
4 Weapons Manufacturing

3 Consign to Memory
3 Damping Sphere
2 Dismember
2 Strix Serenade
2 Vexing Bauble
3 Whipflare"
"Affinity","",Modern,"2 Arcbound Ravager
3 Claws of Gix
3 Emry, Lurker of the Loch
4 Engineered Explosives
4 Fiery Islet
1 Island
4 Kappa Cannoneer
1 Lavaspur Boots
4 Mishra's Bauble
4 Mox Opal
4 Pinnacle Emissary
1 Pithing Needle
1 Salvage Titan
1 Shadowspear
3 Sink into Stupor
4 Spirebluff Canal
1 Steam Vents
3 Thoughtcast
3 Tormod's Crypt
4 Urza's Saga
4 Weapons Manufacturing
1 Welding Jar

1 Blood Moon
3 Consign to Memory
2 Damping Sphere
2 Galvanic Blast
1 Grafdigger's Cage
2 Mystical Dispute
1 Swan Song
2 Whipflare"
"Affinity","",Modern,"3 Emry, Lurker of the Loch
1 Fiery Islet
2 Glimmervoid
1 Haywire Mite
1 Island
4 Kappa Cannoneer
1 Lavaspur Boots
4 Metallic Rebuke
4 Mishra's Bauble
4 Mox Opal
4 Pinnacle Emissary
1 Pithing Needle
4 Portable Hole
4 Seachrome Coast
1 Shadowspear
3 Sink into Stupor
2 Spire of Industry
3 Thoughtcast
4 Tormod's Crypt
4 Urza's Saga
1 Vexing Bauble
4 Welding Jar

3 Consign to Memory
3 Damping Sphere
2 Dispatch
3 Force of Negation
1 Grafdigger's Cage
3 Whipflare"
"Affinity","",Modern,"1 Aether Spellbomb
1 Claws of Gix
4 Engineered Explosives
3 Fiery Islet
1 Island
4 Kappa Cannoneer
1 Lavaspur Boots
4 Memnite
2 Metallic Rebuke
4 Mishra's Bauble
4 Mox Opal
4 Pinnacle Emissary
2 Salvage Titan
1 Shadowspear
4 Sink into Stupor
4 Spirebluff Canal
1 Springleaf Drum
2 Steam Vents
4 Thoughtcast
3 Tormod's Crypt
4 Urza's Saga
2 Weapons Manufacturing

2 Consign to Memory
2 Emry, Lurker of the Loch
1 Force of Negation
2 Galvanic Blast
2 Harbinger of the Seas
1 Haywire Mite
1 Metallic Rebuke
2 Mystical Dispute
1 Pithing Needle
1 Whipflare"
"Jeskai Blink","",Modern,"3 Arena of Glory
4 Arid Mesa
3 Consign to Memory
1 Elegant Parlor
2 Ephemerate
2 Fable of the Mirror-Breaker
4 Flooded Strand
3 Galvanic Discharge
1 Hallowed Fountain
1 Island
1 Meticulous Archive
1 Mountain
1 No More Lies
4 Phelia, Exuberant Shepherd
4 Phlage, Titan of Fire's Fury
2 Plains
2 Prismatic Ending
4 Quantum Riddler
4 Ragavan, Nimble Pilferer
1 Sacred Foundry
3 Scalding Tarn
4 Solitude
1 Steam Vents
1 Strix Serenade
1 Teferi, Time Raveler
1 Thundering Falls
1 Wrath of the Skies

1 Celestial Purge
2 Damping Sphere
1 High Noon
2 Mystical Dispute
1 No More Lies
3 Obsidian Charmaw
1 Strix Serenade
1 Surgical Extraction
1 Wear/Tear
2 Wrath of the Skies"
"Jeskai Blink","",Modern,"2 Arena of Glory
4 Arid Mesa
4 Consign to Memory
1 Elegant Parlor
2 Ephemerate
2 Fable of the Mirror-Breaker
4 Flooded Strand
4 Galvanic Discharge
1 Hallowed Fountain
1 Island
1 Meticulous Archive
1 Mountain
3 Phelia, Exuberant Shepherd
4 Phlage, Titan of Fire's Fury
2 Plains
2 Prismatic Ending
4 Quantum Riddler
4 Ragavan, Nimble Pilferer
1 Sacred Foundry
4 Scalding Tarn
4 Solitude
1 Steam Vents
2 Teferi, Time Raveler
1 Thundering Falls
1 Wrath of the Skies

1 Celestial Purge
1 Damping Sphere
1 Deafening Silence
1 High Noon
2 Mystical Dispute
3 Obsidian Charmaw
2 Strix Serenade
1 Surgical Extraction
1 Wear/Tear
2 Wrath of the Skies"
"Jeskai Blink","",Modern,"3 Arena of Glory
4 Arid Mesa
3 Consign to Memory
1 Elegant Parlor
2 Ephemerate
2 Fable of the Mirror-Breaker
4 Flooded Strand
4 Galvanic Discharge
1 Hallowed Fountain
1 Island
1 Meticulous Archive
1 Mountain
4 Phelia, Exuberant Shepherd
4 Phlage, Titan of Fire's Fury
2 Plains
2 Prismatic Ending
4 Quantum Riddler
4 Ragavan, Nimble Pilferer
1 Sacred Foundry
3 Scalding Tarn
4 Solitude
1 Steam Vents
2 Teferi, Time Raveler
1 Thundering Falls
1 Wrath of the Skies

1 Celestial Purge
2 High Noon
3 Mystical Dispute
3 Obsidian Charmaw
2 Strix Serenade
1 Surgical Extraction
1 Wear/Tear
2 Wrath of the Skies"
"Jeskai Blink","",Modern,"3 Arena of Glory
4 Arid Mesa
3 Consign to Memory
1 Elegant Parlor
2 Ephemerate
2 Fable of the Mirror-Breaker
4 Flooded Strand
4 Galvanic Discharge
1 Hallowed Fountain
1 Island
1 Meticulous Archive
1 Mountain
4 Phelia, Exuberant Shepherd
4 Phlage, Titan of Fire's Fury
2 Plains
2 Prismatic Ending
4 Quantum Riddler
4 Ragavan, Nimble Pilferer
1 Sacred Foundry
3 Scalding Tarn
4 Solitude
1 Steam Vents
2 Teferi, Time Raveler
1 Thundering Falls
1 Wrath of the Skies

1 Celestial Purge
2 High Noon
3 Mystical Dispute
3 Obsidian Charmaw
2 Strix Serenade
1 Surgical Extraction
1 Wear/Tear
2 Wrath of the Skies"
"Jeskai Blink","",Modern,"2 Arena of Glory
4 Arid Mesa
3 Consign to Memory
1 Elegant Parlor
4 Fable of the Mirror-Breaker
4 Flooded Strand
4 Galvanic Discharge
1 Hallowed Fountain
1 Marsh Flats
1 Meticulous Archive
4 Phelia, Exuberant Shepherd
4 Phlage, Titan of Fire's Fury
2 Prismatic Ending
4 Quantum Riddler
4 Ragavan, Nimble Pilferer
1 Sacred Foundry
4 Scalding Tarn
1 Snow-Covered Mountain
2 Snow-Covered Plains
4 Solitude
1 Spell Snare
1 Steam Vents
1 Teferi, Time Raveler
1 Thundering Falls
1 Wrath of the Skies

2 Celestial Purge
1 Consign to Memory
1 Destroy Evil
3 High Noon
2 Mystical Dispute
2 Obsidian Charmaw
1 Spell Snare
1 Surgical Extraction
2 Wrath of the Skies"
"Domain Zoo","",Modern,"2 Arena of Glory
4 Arid Mesa
2 Consign to Memory
3 Doorkeeper Thrull
4 Flooded Strand
1 Godless Shrine
1 Indatha Triome
4 Leyline Binding
4 Leyline of the Guildpact
4 Lightning Bolt
1 Mountain
4 Phlage, Titan of Fire's Fury
1 Plains
4 Ragavan, Nimble Pilferer
4 Scion of Draco
2 Steam Vents
2 Stubborn Denial
1 Teferi, Time Raveler
1 Temple Garden
4 Territorial Kavu
2 The Legend of Roku
1 Thundering Falls
4 Wooded Foothills

1 Celestial Purge
2 Consign to Memory
2 Damping Sphere
3 Mystical Dispute
1 Nihil Spellbomb
2 Obsidian Charmaw
1 Wear/Tear
3 Wrath of the Skies"
"Domain Zoo","",Modern,"2 Arena of Glory
4 Arid Mesa
2 Consign to Memory
3 Doorkeeper Thrull
4 Flooded Strand
1 Godless Shrine
1 Indatha Triome
4 Leyline Binding
4 Leyline of the Guildpact
4 Lightning Bolt
1 Mountain
4 Phlage, Titan of Fire's Fury
1 Plains
4 Ragavan, Nimble Pilferer
4 Scion of Draco
2 Steam Vents
2 Stubborn Denial
1 Teferi, Time Raveler
1 Temple Garden
4 Territorial Kavu
2 The Legend of Roku
1 Thundering Falls
4 Wooded Foothills

1 Celestial Purge
2 Consign to Memory
2 Damping Sphere
3 Mystical Dispute
1 Nihil Spellbomb
2 Obsidian Charmaw
1 Wear/Tear
3 Wrath of the Skies"
"Domain Zoo","",Modern,"2 Arena of Glory
4 Arid Mesa
2 Consign to Memory
3 Doorkeeper Thrull
4 Flooded Strand
1 Godless Shrine
1 Indatha Triome
4 Leyline Binding
4 Leyline of the Guildpact
4 Lightning Bolt
1 Mountain
4 Phlage, Titan of Fire's Fury
1 Plains
4 Ragavan, Nimble Pilferer
4 Scion of Draco
2 Steam Vents
2 Stubborn Denial
1 Teferi, Time Raveler
1 Temple Garden
4 Territorial Kavu
2 The Legend of Roku
1 Thundering Falls
4 Wooded Foothills

1 Celestial Purge
2 Consign to Memory
2 Damping Sphere
3 Mystical Dispute
1 Nihil Spellbomb
2 Obsidian Charmaw
1 Wear/Tear
3 Wrath of the Skies"
"Domain Zoo","",Modern,"2 Arena of Glory
4 Arid Mesa
2 Consign to Memory
3 Doorkeeper Thrull
4 Flooded Strand
1 Godless Shrine
1 Indatha Triome
4 Leyline Binding
4 Leyline of the Guildpact
4 Lightning Bolt
1 Mountain
4 Phlage, Titan of Fire's Fury
1 Plains
4 Ragavan, Nimble Pilferer
4 Scion of Draco
2 Steam Vents
2 Stubborn Denial
1 Teferi, Time Raveler
1 Temple Garden
4 Territorial Kavu
2 The Legend of Roku
1 Thundering Falls
4 Wooded Foothills

1 Celestial Purge
2 Consign to Memory
2 Damping Sphere
3 Mystical Dispute
1 Nihil Spellbomb
2 Obsidian Charmaw
1 Wear/Tear
3 Wrath of the Skies"
"W-U-R-G Domain Zoo","",Modern,"2 Arena of Glory
4 Arid Mesa
2 Consign to Memory
4 Doorkeeper Thrull
1 Fable of the Mirror-Breaker
4 Flooded Strand
1 Godless Shrine
1 Indatha Triome
4 Leyline Binding
4 Leyline of the Guildpact
4 Lightning Bolt
1 Mountain
2 Nulldrifter
4 Phlage, Titan of Fire's Fury
1 Plains
3 Ragavan, Nimble Pilferer
4 Scion of Draco
2 Steam Vents
2 Stubborn Denial
1 Temple Garden
4 Territorial Kavu
1 Thundering Falls
4 Wooded Foothills

1 Ashiok, Dream Render
2 Consign to Memory
2 Damping Sphere
3 Mystical Dispute
1 Nihil Spellbomb
2 Obsidian Charmaw
1 Surgical Extraction
1 Wear/Tear
2 Wrath of the Skies"
"Eldrazi Ramp","",Modern,"1 Bojuka Bog
1 Commercial District
3 Devourer of Destiny
4 Eldrazi Temple
2 Emrakul, the Promised End
3 Forest
2 Formidable Speaker
1 Gemstone Caverns
1 Ghost Quarter
2 Icetill Explorer
4 Kozilek's Command
2 Kozilek's Return
4 Malevolent Rumble
1 Misty Rainforest
1 Sanctum of Ugin
1 Shifting Woodland
2 Sire of Seven Deaths
1 Six
4 Sowing Mycospawn
2 Stomping Ground
4 Talisman of Impulse
4 Ugin's Labyrinth
2 Ugin, Eye of the Storms
4 Utopia Sprawl
1 Verdant Catacombs
1 Windswept Heath
1 Wooded Foothills
2 World Breaker

2 Dismember
2 Disruptor Flute
2 Fade from History
1 Grafdigger's Cage
1 Soulless Jailer
2 Trinisphere
3 Unholy Heat
2 Vexing Bauble"
"Gruul Amulet Titan","",Modern,"1 Arena of Glory
1 Bojuka Bog
1 Boseiju, Who Endures
1 Commercial District
1 Devourer of Destiny
4 Eldrazi Temple
3 Emrakul, the Promised End
3 Forest
4 Formidable Speaker
1 Ghost Quarter
2 Herigast, Erupting Nullkite
1 Icetill Explorer
1 Ilharg, the Raze-Boar
4 Kozilek's Command
2 Kozilek's Return
4 Malevolent Rumble
1 Shifting Woodland
2 Sire of Seven Deaths
4 Sowing Mycospawn
2 Stomping Ground
4 Talisman of Impulse
4 Ugin's Labyrinth
4 Utopia Sprawl
2 Verdant Catacombs
1 Vibrance
1 Windswept Heath
1 World Breaker

2 Fade from History
2 Magus of the Moon
2 Nature's Claim
1 Soulless Jailer
2 Surgical Extraction
2 Trinisphere
2 Unholy Heat
2 Vexing Bauble"
"Gruul Eldrazi Ramp","",Modern,"1 Bojuka Bog
1 Boseiju, Who Endures
1 Commercial District
3 Devourer of Destiny
4 Eldrazi Temple
3 Emrakul, the Promised End
3 Forest
2 Formidable Speaker
2 Ghost Quarter
2 Icetill Explorer
4 Kozilek's Command
3 Kozilek's Return
4 Malevolent Rumble
1 Shifting Woodland
2 Sire of Seven Deaths
4 Sowing Mycospawn
2 Stomping Ground
4 Talisman of Impulse
4 Ugin's Labyrinth
2 Ugin, Eye of the Storms
4 Utopia Sprawl
1 Verdant Catacombs
1 Windswept Heath
1 Wooded Foothills
1 World Breaker

2 Dismember
2 Disruptor Flute
2 Force of Vigor
1 Grafdigger's Cage
1 Soulless Jailer
2 Trinisphere
3 Unholy Heat
2 Vexing Bauble"
"Gruul Eldrazi Ramp","",Modern,"1 Bojuka Bog
1 Commercial District
3 Devourer of Destiny
4 Eldrazi Temple
2 Emrakul, the Promised End
3 Forest
2 Formidable Speaker
1 Gemstone Caverns
1 Ghost Quarter
2 Icetill Explorer
4 Kozilek's Command
2 Kozilek's Return
4 Malevolent Rumble
1 Misty Rainforest
1 Sanctum of Ugin
1 Shifting Woodland
2 Sire of Seven Deaths
1 Six
4 Sowing Mycospawn
2 Stomping Ground
4 Talisman of Impulse
4 Ugin's Labyrinth
2 Ugin, Eye of the Storms
4 Utopia Sprawl
1 Verdant Catacombs
1 Windswept Heath
1 Wooded Foothills
2 World Breaker

2 Dismember
2 Disruptor Flute
2 Fade from History
1 Grafdigger's Cage
1 Soulless Jailer
2 Trinisphere
3 Unholy Heat
2 Vexing Bauble"
"Eldrazi Ramp","",Modern,"1 Bojuka Bog
1 Boseiju, Who Endures
1 Cavern of Souls
1 Commercial District
2 Devourer of Destiny
4 Eldrazi Temple
2 Emrakul, the Promised End
1 Endurance
3 Forest
4 Formidable Speaker
1 Ghost Quarter
1 Herigast, Erupting Nullkite
1 Icetill Explorer
4 Kozilek's Command
2 Kozilek's Return
4 Malevolent Rumble
1 Sanctum of Ugin
1 Shifting Woodland
1 Sire of Seven Deaths
4 Sowing Mycospawn
1 Stomping Ground
4 Talisman of Impulse
4 Ugin's Labyrinth
1 Ugin, Eye of the Storms
4 Utopia Sprawl
4 Wooded Foothills
1 World Breaker
1 Writhing Chrysalis

1 Disruptor Flute
1 Fade from History
1 Force of Vigor
1 Haywire Mite
1 Kozilek's Return
1 Magus of the Moon
1 Nature's Claim
1 Soulless Jailer
1 Surgical Extraction
1 The Stone Brain
1 Trinisphere
2 Unholy Heat
2 Vexing Bauble"
"Dimir Midrange","",Modern,"2 Cling to Dust
4 Consult the Star Charts
4 Counterspell
4 Fatal Push
4 Field of Ruin
4 Flooded Strand
1 Force of Negation
4 Island
1 Kaito, Bane of Nightmares
1 Logic Knot
4 Orcish Bowmasters
4 Polluted Delta
1 Scalding Tarn
3 Sheoldred's Edict
1 Spell Pierce
3 Spell Snare
4 Subtlety
1 Swamp
3 Undercity Sewers
4 Wan Shi Tong, Librarian
3 Watery Grave

3 Break the Ice
4 Consign to Memory
3 Engineered Explosives
1 Harbinger of the Seas
3 Mystical Dispute
1 Nihil Spellbomb"
"Dimir Midrange","",Modern,"2 Cling to Dust
4 Consult the Star Charts
4 Counterspell
4 Fatal Push
4 Field of Ruin
4 Flooded Strand
1 Force of Negation
4 Island
1 Kaito, Bane of Nightmares
1 Logic Knot
4 Orcish Bowmasters
4 Polluted Delta
1 Scalding Tarn
3 Sheoldred's Edict
1 Spell Pierce
3 Spell Snare
4 Subtlety
1 Swamp
3 Undercity Sewers
4 Wan Shi Tong, Librarian
3 Watery Grave

3 Break the Ice
4 Consign to Memory
3 Engineered Explosives
1 Harbinger of the Seas
3 Mystical Dispute
1 Nihil Spellbomb"
"Dimir Midrange","",Modern,"2 Cling to Dust
4 Consult the Star Charts
4 Counterspell
4 Fatal Push
4 Field of Ruin
4 Flooded Strand
1 Force of Negation
4 Island
1 Kaito, Bane of Nightmares
1 Logic Knot
4 Orcish Bowmasters
4 Polluted Delta
1 Scalding Tarn
3 Sheoldred's Edict
1 Spell Pierce
3 Spell Snare
4 Subtlety
1 Swamp
3 Undercity Sewers
4 Wan Shi Tong, Librarian
3 Watery Grave

4 Consign to Memory
3 Engineered Explosives
2 Graveyard Trespasser
2 Harbinger of the Seas
3 Mystical Dispute
1 Nihil Spellbomb"
